Date,Confirmed Cases,Date,Confirmed Deaths,Date,Prob and Suspected Cases,Date,Prob and Suspected Deaths,Date,Probable Cases,Date,Probable Deaths,Date,Suspected Cases
2015-03-10,2871.0,2015-03-10,1778.0,2015-03-10,3285.0,2015-03-10,2170.0,2015-03-10,392.0,2015-03-10,392.0,2015-03-10,22.0
2015-03-06,2840.0,2015-03-06,1755.0,2015-03-06,3248.0,2015-03-06,2147.0,2015-03-06,392.0,2015-03-06,392.0,2015-03-06,16.0
2015-03-05,2833.0,2015-03-05,1749.0,2015-03-05,3237.0,2015-03-05,2141.0,2015-03-05,392.0,2015-03-05,392.0,2015-03-05,12.0
2015-03-04,2808.0,2015-03-04,1735.0,2015-03-04,3205.0,2015-03-04,2127.0,2015-03-04,392.0,2015-03-04,392.0,2015-03-04,5.0
2015-03-02,2808.0,2015-03-02,1735.0,2015-03-02,3205.0,2015-03-02,2127.0,2015-03-02,392.0,2015-03-02,392.0,2015-03-02,5.0
2015-02-27,2790.0,2015-02-27,1721.0,2015-02-27,3190.0,2015-02-27,2113.0,2015-02-27,392.0,2015-02-27,392.0,2015-02-27,8.0
2015-02-26,2781.0,2015-02-26,1714.0,2015-02-26,3175.0,2015-02-26,2101.0,2015-02-26,387.0,2015-02-26,387.0,2015-02-26,7.0
2015-02-25,2762.0,2015-02-25,1704.0,2015-02-25,3155.0,2015-02-25,2091.0,2015-02-25,387.0,2015-02-25,387.0,2015-02-25,6.0
2015-02-23,2758.0,2015-02-23,1699.0,2015-02-23,3155.0,2015-02-23,2086.0,2015-02-23,387.0,2015-02-23,387.0,2015-02-23,10.0
2015-02-20,2734.0,2015-02-20,1688.0,2015-02-20,3120.0,2015-02-20,2072.0,2015-02-20,384.0,2015-02-20,384.0,2015-02-20,2.0
2015-02-19,2732.0,2015-02-19,1686.0,2015-02-19,3115.0,2015-02-19,2067.0,2015-02-19,381.0,2015-02-19,381.0,2015-02-19,2.0
2015-02-18,2727.0,2015-02-18,1683.0,2015-02-18,3108.0,2015-02-18,2057.0,2015-02-18,374.0,2015-02-18,374.0,2015-02-18,7.0
2015-02-17,2727.0,2015-02-17,1683.0,2015-02-17,3108.0,2015-02-17,2057.0,2015-02-17,374.0,2015-02-17,374.0,2015-02-17,7.0
2015-02-16,2720.0,2015-02-16,1678.0,2015-02-16,3101.0,2015-02-16,2052.0,2015-02-16,374.0,2015-02-16,374.0,2015-02-16,7.0
2015-02-13,2693.0,2015-02-13,1659.0,2015-02-13,3081.0,2015-02-13,2032.0,2015-02-13,373.0,2015-02-13,373.0,2015-02-13,15.0
2015-02-12,2685.0,2015-02-12,1651.0,2015-02-12,3068.0,2015-02-12,2018.0,2015-02-12,367.0,2015-02-12,367.0,2015-02-12,16.0
2015-02-11,2674.0,2015-02-11,1643.0,2015-02-11,3044.0,2015-02-11,1995.0,2015-02-11,352.0,2015-02-11,352.0,2015-02-11,18.0
2015-02-10,2674.0,2015-02-10,1643.0,2015-02-10,3044.0,2015-02-10,1995.0,2015-02-10,352.0,2015-02-10,352.0,2015-02-10,18.0
2015-02-06,2628.0,2015-02-06,1608.0,2015-02-06,2988.0,2015-02-06,1957.0,2015-02-06,349.0,2015-02-06,349.0,2015-02-06,11.0
2015-02-05,2621.0,2015-02-05,1600.0,2015-02-05,2986.0,2015-02-05,1947.0,2015-02-05,347.0,2015-02-05,347.0,2015-02-05,18.0
2015-02-04,2608.0,2015-02-04,1597.0,2015-02-04,2975.0,2015-02-04,1944.0,2015-02-04,347.0,2015-02-04,347.0,2015-02-04,20.0
2015-02-03,2608.0,2015-02-03,1597.0,2015-02-03,2975.0,2015-02-03,1944.0,2015-02-03,347.0,2015-02-03,347.0,2015-02-03,20.0
2015-02-02,2593.0,2015-02-02,1595.0,2015-02-02,2959.0,2015-02-02,1937.0,2015-02-02,342.0,2015-02-02,342.0,2015-02-02,24.0
2015-01-30,2575.0,2015-01-30,1581.0,2015-01-30,2920.0,2015-01-30,1913.0,2015-01-30,332.0,2015-01-30,332.0,2015-01-30,13.0
2015-01-29,2571.0,2015-01-29,1579.0,2015-01-29,2921.0,2015-01-29,1911.0,2015-01-29,332.0,2015-01-29,332.0,2015-01-29,18.0
2015-01-28,2569.0,2015-01-28,1578.0,2015-01-28,2917.0,2015-01-28,1910.0,2015-01-28,332.0,2015-01-28,332.0,2015-01-28,16.0
